"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-01",105.0813,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-02",104.4808,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-03",103.7903,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-04",103.0882,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-05",102.5769,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-06",102.3369,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-07",102.2589,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-08",102.2076,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-09",102.0827,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.7291,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.0256,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.1001,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.25897,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-02",98.93261,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-03",98.9438,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.11739,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.19073,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.05547,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-07",98.77688,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.47113,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.19727,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.02036,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-11",98.07764,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1974-12",98.30959,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-01",98.66025,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.01379,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.31351,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.57562,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.76382,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.81077,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.81588,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.79583,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.80876,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.97816,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-11",100.3981,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1975-12",100.992,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-01",101.5445,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-02",101.8174,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-03",101.8408,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-04",101.7488,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-05",101.6513,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-06",101.589,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-07",101.5404,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-08",101.4997,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-09",101.4764,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-10",101.4661,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-11",101.5239,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1976-12",101.609,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.6526,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.5051,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.1624,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.7157,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.4349,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.4671,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.7033,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.9614,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-09",101.2358,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-10",101.5135,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-11",101.738,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1977-12",101.9206,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-01",102.0242,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-02",102.0606,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-03",102.0622,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-04",102.0736,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-05",102.1549,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-06",102.3085,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-07",102.51,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-08",102.7612,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-09",103.0324,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-10",103.202,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-11",103.2535,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1978-12",103.1795,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-01",103.0304,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-02",102.863,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-03",102.699,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-04",102.4828,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-05",102.23,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-06",101.9775,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-07",101.7628,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-08",101.549,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-09",101.3034,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-10",101.0212,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-11",100.6658,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1979-12",100.2107,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-01",99.69946,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-02",99.40896,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-03",99.27758,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-04",99.21016,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-05",99.16407,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-06",99.05657,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-07",98.96333,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-08",98.89437,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-09",98.74387,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-10",98.45626,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-11",98.10629,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1980-12",97.82857,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-01",97.56081,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-02",97.26046,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-03",97.00782,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-04",96.8769,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-05",96.80721,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-06",96.67105,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-07",96.51803,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-08",96.3409,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-09",96.35133,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-10",96.49571,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-11",96.67788,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1981-12",96.9463,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-01",97.27418,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-02",97.55251,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-03",97.8147,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-04",98.01464,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-05",98.07506,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-06",97.83992,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-07",97.3269,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-08",96.82773,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-09",96.4053,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-10",96.15867,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-11",96.10757,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1982-12",96.25981,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-01",96.70875,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-02",97.30644,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-03",97.8534,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-04",98.04166,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-05",97.98479,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-06",97.92361,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-07",97.90068,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-08",97.89545,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-09",97.83566,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-10",97.84393,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-11",98.01337,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1983-12",98.22779,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-01",98.35439,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-02",98.25379,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-03",98.04638,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-04",97.83936,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-05",97.7283,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-06",97.70692,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-07",97.90661,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-08",98.17049,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-09",98.40668,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-10",98.53504,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-11",98.70174,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1984-12",98.95171,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-01",99.29048,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-02",99.46479,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-03",99.53416,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-04",99.63409,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-05",99.71914,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-06",99.77556,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-07",99.83001,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-08",99.89318,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-09",100.0303,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-10",100.298,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-11",100.5448,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1985-12",100.7681,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-01",101.0555,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-02",101.3299,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-03",101.5309,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-04",101.6219,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-05",101.7014,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-06",101.7874,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-07",101.8622,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-08",101.9124,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-09",101.8846,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-10",101.8232,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-11",101.7415,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1986-12",101.6208,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-01",101.4611,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-02",101.3388,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-03",101.2855,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-04",101.2538,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-05",101.2329,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-06",101.2185,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-07",101.233,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-08",101.2462,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-09",101.2551,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-10",101.1451,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-11",101.0252,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1987-12",100.9632,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-01",100.9173,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-02",100.9864,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-03",101.1431,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-04",101.3206,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-05",101.4442,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-06",101.5345,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-07",101.6152,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-08",101.7482,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-09",101.8899,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-10",102.0396,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-11",102.1605,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1988-12",102.1551,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-01",102.0253,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-02",101.8781,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-03",101.7738,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-04",101.7483,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-05",101.8552,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-06",102.0658,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-07",102.2247,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-08",102.2771,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1989-09",102.2976,
