Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.DS.EI.DJES50I.HSTA&start=01-01-1997&end=01-04-2022&submitOptions.x=0&submitOptions.y=0&trans=N&periodSortOrder=ASC
,FM.M.U2.EUR.DS.EI.DJES50I.HSTA
,"Euro area (changing composition) - Equity/index - Dow Jones Euro Stoxx 50 Price Index - Historical close, average of observations through period - Euro, provided by DataStream"
Collection:,Average of observations through period (A)
Period\Unit:,[Points ]
,,obs. status
1997Jan,1932.3561,Normal value (A)
1997Feb,2070.8415,Normal value (A)
1997Mar,2122.8533,Normal value (A)
1997Apr,2096.5477,Normal value (A)
1997May,2241.6314,Normal value (A)
1997Jun,2350.2319,Normal value (A)
1997Jul,2567.7387,Normal value (A)
1997Aug,2564.7790,Normal value (A)
1997Sep,2511.0314,Normal value (A)
1997Oct,2510.6970,Normal value (A)
1997Nov,2367.9425,Normal value (A)
1997Dec,2474.4478,Normal value (A)
1998Jan,2572.5223,Normal value (A)
1998Feb,2762.1255,Normal value (A)
1998Mar,3029.0236,Normal value (A)
1998Apr,3239.1395,Normal value (A)
1998May,3312.4486,Normal value (A)
1998Jun,3355.5768,Normal value (A)
1998Jul,3552.0309,Normal value (A)
1998Aug,3257.7152,Normal value (A)
1998Sep,2881.7959,Normal value (A)
1998Oct,2701.0209,Normal value (A)
1998Nov,3042.1757,Normal value (A)
1998Dec,3171.0622,Normal value (A)
1999Jan,3504.3614,Normal value (A)
1999Feb,3450.8705,Normal value (A)
1999Mar,3524.1935,Normal value (A)
1999Apr,3671.7955,Normal value (A)
1999May,3669.7305,Normal value (A)
1999Jun,3749.4505,Normal value (A)
1999Jul,3846.2359,Normal value (A)
1999Aug,3691.3259,Normal value (A)
1999Sep,3772.7923,Normal value (A)
1999Oct,3742.6171,Normal value (A)
1999Nov,4159.9731,Normal value (A)
1999Dec,4590.1077,Normal value (A)
2000Jan,4714.7035,Normal value (A)
2000Feb,5089.7570,Normal value (A)
2000Mar,5317.0805,Normal value (A)
2000Apr,5149.1464,Normal value (A)
2000May,5174.7296,Normal value (A)
2000Jun,5275.0648,Normal value (A)
2000Jul,5227.8216,Normal value (A)
2000Aug,5151.9600,Normal value (A)
2000Sep,5132.9133,Normal value (A)
2000Oct,4893.2429,Normal value (A)
2000Nov,4962.7177,Normal value (A)
2000Dec,4787.1351,Normal value (A)
2001Jan,4729.6529,Normal value (A)
2001Feb,4525.8688,Normal value (A)
2001Mar,4199.1586,Normal value (A)
2001Apr,4307.6380,Normal value (A)
2001May,4481.8667,Normal value (A)
2001Jun,4289.6788,Normal value (A)
2001Jul,4037.8259,Normal value (A)
2001Aug,3884.6279,Normal value (A)
2001Sep,3276.9981,Normal value (A)
2001Oct,3440.9140,Normal value (A)
2001Nov,3674.6297,Normal value (A)
2001Dec,3711.0860,Normal value (A)
2002Jan,3690.1301,Normal value (A)
2002Feb,3537.6006,Normal value (A)
2002Mar,3744.2451,Normal value (A)
2002Apr,3658.6166,Normal value (A)
2002May,3503.4543,Normal value (A)
2002Jun,3143.1096,Normal value (A)
2002Jul,2810.6471,Normal value (A)
2002Aug,2697.4479,Normal value (A)
2002Sep,2450.1574,Normal value (A)
2002Oct,2384.7314,Normal value (A)
2002Nov,2558.9979,Normal value (A)
2002Dec,2477.0302,Normal value (A)
2003Jan,2377.3846,Normal value (A)
2003Feb,2170.8818,Normal value (A)
2003Mar,2086.4631,Normal value (A)
2003Apr,2278.2775,Normal value (A)
2003May,2303.0360,Normal value (A)
2003Jun,2443.3273,Normal value (A)
2003Jul,2459.8475,Normal value (A)
2003Aug,2524.1213,Normal value (A)
2003Sep,2553.3121,Normal value (A)
2003Oct,2523.2700,Normal value (A)
2003Nov,2618.0584,Normal value (A)
2003Dec,2702.1682,Normal value (A)
2004Jan,2839.1245,Normal value (A)
2004Feb,2874.7639,Normal value (A)
2004Mar,2829.0044,Normal value (A)
2004Apr,2860.8652,Normal value (A)
2004May,2728.5880,Normal value (A)
2004Jun,2792.1674,Normal value (A)
2004Jul,2730.3732,Normal value (A)
2004Aug,2646.9280,Normal value (A)
2004Sep,2748.6520,Normal value (A)
2004Oct,2794.3770,Normal value (A)
2004Nov,2882.6956,Normal value (A)
2004Dec,2926.0003,Normal value (A)
2005Jan,2957.0262,Normal value (A)
2005Feb,3050.4234,Normal value (A)
2005Mar,3065.7687,Normal value (A)
2005Apr,3013.7490,Normal value (A)
2005May,3023.4702,Normal value (A)
2005Jun,3151.6645,Normal value (A)
2005Jul,3267.1005,Normal value (A)
2005Aug,3303.3192,Normal value (A)
2005Sep,3351.8450,Normal value (A)
2005Oct,3340.0626,Normal value (A)
2005Nov,3404.8940,Normal value (A)
2005Dec,3550.0556,Normal value (A)
2006Jan,3626.9377,Normal value (A)
2006Feb,3743.7893,Normal value (A)
2006Mar,3814.9322,Normal value (A)
2006Apr,3834.6011,Normal value (A)
2006May,3726.8473,Normal value (A)
2006Jun,3528.6559,Normal value (A)
2006Jul,3617.3305,Normal value (A)
2006Aug,3743.8631,Normal value (A)
2006Sep,3817.5700,Normal value (A)
2006Oct,3975.8366,Normal value (A)
2006Nov,4052.8034,Normal value (A)
2006Dec,4070.3543,Normal value (A)
2007Jan,4157.7874,Normal value (A)
2007Feb,4230.1978,Normal value (A)
2007Mar,4070.4696,Normal value (A)
2007Apr,4330.7465,Normal value (A)
2007May,4444.8279,Normal value (A)
2007Jun,4470.2115,Normal value (A)
2007Jul,4449.0248,Normal value (A)
2007Aug,4220.6253,Normal value (A)
2007Sep,4284.4279,Normal value (A)
2007Oct,4430.7492,Normal value (A)
2007Nov,4314.8763,Normal value (A)
2007Dec,4386.0430,Normal value (A)
2008Jan,4042.0858,Normal value (A)
2008Feb,3776.5829,Normal value (A)
2008Mar,3587.3372,Normal value (A)
2008Apr,3768.1028,Normal value (A)
2008May,3812.7622,Normal value (A)
2008Jun,3527.8323,Normal value (A)
2008Jul,3298.6578,Normal value (A)
2008Aug,3346.0433,Normal value (A)
2008Sep,3193.7236,Normal value (A)
2008Oct,2627.2763,Normal value (A)
2008Nov,2452.8717,Normal value (A)
2008Dec,2407.0034,Normal value (A)
2009Jan,2344.9305,Normal value (A)
